,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
8256,CANDIDATE,521.10826,0.3485,18.36,244.7,0.014478,0.6145,1.5,1.2173,89.95,231.0,0.68,206.6,8.7,5942.0,4.4319999999999995,-0.4,0.947,0.884
8257,FALSE POSITIVE,41.3701638,0.653,29.254,6907.1,0.07975499999999999,0.00897,59.95,0.2369,85.99,1133.0,389.15,9.33,91.3,4764.0,2.7769999999999997,-0.18,6.883,1.035
8258,FALSE POSITIVE,1.306220168,0.352,5.14519,481370.0,0.677492,0.41498999999999997,83.16,0.0217,83.96,2095.0,4556.14,3.3451,2019.4,6600.0,4.238,-1.52,1.124,0.796
8259,FALSE POSITIVE,631.632,0.4544,16.13,295.1,0.015956,0.95288,1.56,1.3955,89.95,201.0,0.38,271.9,8.6,5689.0,4.493,-0.14,0.894,0.906
8260,FALSE POSITIVE,0.756511623,1.216,2.81832,41596.0,0.500222,0.36943000000000004,77.4,0.0171,57.06,2549.0,9947.96,2.2358,845.0,6343.0,4.199,-0.14,1.417,1.157
8261,FALSE POSITIVE,10.845286549,1.307,4.3876,7473.8,0.416626,0.18187,319.52,0.1254,82.79,1682.0,1893.11,10.42,416.1,5096.0,3.094,0.07,7.023,2.233
8262,FALSE POSITIVE,32.45541269,0.726,7.3736,136390.0,0.395929,1.1576600000000001,23.48,0.1634,88.96,392.0,5.55,40.1,180.9,4869.0,4.71,-1.42,0.543,0.552
8263,CANDIDATE,3.39401963,0.166,2.984,98.4,0.009127,1.06962,1.03,0.0448,88.9,1306.0,689.16,8.67,10.0,6181.0,4.431,-0.16,1.029,1.036
8264,FALSE POSITIVE,5.917085496,0.095,23.7545,563290.0,0.703816,0.0211,75.86,0.0609,88.4,1005.0,241.42,3.3927,1331.5,5661.0,4.383,-0.18,0.987,0.859
8265,FALSE POSITIVE,0.9588711440000001,0.533,2.74361,232350.0,0.47132399999999997,1.1168,45.91,0.0175,81.91,1743.0,2174.51,3.78628,1191.2,5530.0,4.425,-0.34,0.892,0.773
8267,FALSE POSITIVE,1.288046428,0.219,3.637,32.3,0.005161,0.23063000000000003,2.18,0.0236,85.4,2945.0,17822.99,2.725,20.3,5216.0,3.287,-0.66,3.871,1.058
8268,FALSE POSITIVE,4.200206781,1.07,5.21948,82364.0,0.500336,0.30580999999999997,105.07,0.0586,80.65,1737.0,2150.58,6.582,943.7,6873.0,4.051,0.04,1.923,1.518
8269,FALSE POSITIVE,6.091954982000001,0.953,3.6048199999999997,36700.0,0.270452,0.66123,26.96,0.0608,84.99,1036.0,272.7,10.9061,1508.7,6063.0,4.4239999999999995,-0.78,0.913,0.806
8270,CANDIDATE,5.52507406,0.152,2.565,61.5,0.007094,2.7296,0.8,0.0599,89.47,1028.0,263.79,16.39,9.8,5600.0,4.378,0.1,1.037,0.936
8271,FALSE POSITIVE,485.52409,71.3346,11.04,4147.0,70.387939,64.49529,6149.09,1.1661,85.37,191.0,0.31,930.0,10.8,5227.0,4.584,0.12,0.8,0.894
8272,FALSE POSITIVE,0.76647343,0.766,2.46345,199900.0,0.536836,1.21105,42.33,0.0149,76.77,1628.0,1654.36,3.3504199999999997,545.0,5297.0,4.593999999999999,-0.42,0.722,0.746
8273,FALSE POSITIVE,5.2439783,0.82,10.1,93.5,0.009893,0.010740000000000001,1.03,0.0593,70.84,1068.0,307.32,2.5,13.1,6029.0,4.481,-0.14,0.956,1.005
8274,FALSE POSITIVE,5.2436639,0.66,10.53,93.5,0.009365,0.01879,0.88,0.0578,77.34,1059.0,296.41,3.01,10.4,6212.0,4.537,-0.6,0.862,0.932
8275,FALSE POSITIVE,5.2438269,0.228,8.235,128.6,0.010067,0.0773,0.76,0.0521,87.29,743.0,72.18,4.83,11.3,4634.0,4.5969999999999995,-0.12,0.689,0.685
8276,FALSE POSITIVE,0.56678702,0.0063,3.074,7.5,0.002516,0.21431,0.27,0.0128,89.95,2356.0,7279.54,1.538,11.2,6045.0,4.375,-0.54,0.999,0.863
8277,FALSE POSITIVE,2.19642864,0.004,4.933,99.5,0.008959,0.1655,0.79,0.0319,89.94,1193.0,477.24,3.48,11.8,5376.0,4.5760000000000005,-0.02,0.806,0.897
8278,FALSE POSITIVE,2.19635512,0.702,9.65516,266550.0,0.590144,0.07843,82.04,0.0319,75.02,1793.0,2448.43,2.7144,2132.0,6438.0,4.1819999999999995,-0.82,1.273,0.899
8279,FALSE POSITIVE,26.718417545999998,1.069,8.14155,72976.0,0.47489799999999993,0.44035,66.69,0.1682,87.6,727.0,65.88,25.5184,2173.1,5957.0,4.168,-0.42,1.286,0.888
8280,FALSE POSITIVE,0.615787196,0.7452,3.067,110.6,0.010423,0.12247000000000001,3.5,0.0158,56.72,3886.0,53910.99,1.349,23.9,6315.0,3.603,-0.54,3.075,1.381
8282,FALSE POSITIVE,2.213964145,0.634,6.7598,123360.0,0.345116,0.11656,57.06,0.0322,78.26,1891.0,3030.64,3.1141799999999997,951.4,6256.0,4.037,-0.74,1.514,0.911
8283,CANDIDATE,3.226232203,0.145,0.4022,36.3,0.006444,413.20212000000004,1.01,0.0455,89.95,1620.0,1627.1,61.0,9.9,6534.0,4.203,-0.22,1.437,1.205
8284,FALSE POSITIVE,1.025534511,0.883,3.5204800000000005,110950.0,0.43520600000000004,0.374,43.68,0.0195,71.26,1896.0,3066.26,2.75,3769.0,6267.0,4.487,-0.56,0.919,0.946
8285,FALSE POSITIVE,7.64941291,0.231,6.56935,236250.0,0.45448299999999997,0.67853,53.4,0.0774,88.97,1050.0,287.83,12.8033,9054.7,6387.0,4.398,-0.28,1.076,1.051
8286,FALSE POSITIVE,13.174807933,1.065,3.3739199999999996,71071.0,0.469029,3.0047200000000003,51.06,0.1086,87.98,811.0,102.2,30.21,1812.6,6067.0,4.433,-0.24,0.997,0.981
8287,FALSE POSITIVE,0.655094658,1.22,6.159,372.0,0.238988,0.08327000000000001,26.41,0.0153,9.25,2173.0,5290.98,1.236,59.5,6063.0,4.476,0.07,1.012,1.117
8289,FALSE POSITIVE,0.692239369,1.074,2.91121,62962.0,0.45211599999999996,0.39476,67.05,0.0149,60.09,2594.0,10725.15,2.154,469.2,6163.0,4.137,-0.52,1.358,0.922
8290,FALSE POSITIVE,17.030857558,1.047,4.24308,77832.0,0.474955,2.11536,73.8,0.1233,88.12,836.0,115.15,31.8909,1947.8,5575.0,4.066,-0.26,1.423,0.86
8291,CANDIDATE,2.352446342,0.755,1.6802,32.5,0.0056630000000000005,1.25108,1.24,0.0376,83.94,2173.0,5269.29,7.1530130000000005,7.2,6749.0,3.9410000000000003,-0.34,2.003,1.28
8292,FALSE POSITIVE,43.797829003000004,0.489,7.702889999999999,415020.0,0.6622359999999999,3.24257,93.43,0.2649,89.59,668.0,47.15,69.021,1375.1,6860.0,4.3260000000000005,-0.1,1.292,1.3
8293,FALSE POSITIVE,4.254417651,1.165,6.554360000000001,294550.0,0.992082,0.56598,133.79,0.0515,81.78,1360.0,806.64,8.151,2074.5,6292.0,4.256,-0.36,1.235,1.002
8294,FALSE POSITIVE,18.778162159,0.357,8.1018,488410.0,0.683154,1.3275299999999999,127.57,0.1529,89.3,1002.0,238.5,29.141,3788.7,6794.0,4.102,-0.2,1.71,1.356
8296,FALSE POSITIVE,1.575710265,0.83,6.83787,173950.0,0.526347,0.12212999999999999,246.75,0.0304,70.78,2630.0,11307.3,2.5213799999999997,1975.1,5017.0,3.35,0.02,4.293,1.505
8297,FALSE POSITIVE,2.534740757,0.51,4.85013,364350.0,0.6158520000000001,0.70422,52.52,0.0339,85.29,1230.0,541.27,6.207,675.7,5810.0,4.56,-0.62,0.781,0.808
8298,FALSE POSITIVE,37.59406667,1.197,8.9943,28618.0,0.43024399999999996,0.20933000000000002,43.08,0.2055,87.26,554.0,22.2,25.008,485.8,5941.0,4.426,-0.6,0.917,0.817
8299,FALSE POSITIVE,3.6972959,0.995,21.335,19.7,0.0061649999999999995,0.00146,1.07,0.0501,12.18,1571.0,1438.97,1.018,23.6,6313.0,4.12,0.0,1.594,1.22
8300,FALSE POSITIVE,6.855624762000001,0.877,3.02199,70873.0,0.333741,2.13783,33.93,0.0694,87.12,987.0,224.32,17.4476,1397.7,6109.0,4.476,-0.4,0.931,0.946
8301,FALSE POSITIVE,80.7060641,0.956,6.8899,11852.0,0.149292,0.54118,15.47,0.3687,89.04,428.0,7.96,57.117,268.1,6053.0,4.494,-0.16,0.949,1.025
8302,FALSE POSITIVE,2.17814513,0.78,2.321,136.0,0.011727,0.41326,1.22,0.0332,80.44,1428.0,981.63,4.7,13.8,6053.0,4.494,-0.16,0.949,1.025
8303,FALSE POSITIVE,1.089077111,0.63,3.8834,304070.0,0.604175,0.59354,77.59,0.0205,79.13,2045.0,4147.85,3.339,476.6,6126.0,4.285,-0.3,1.176,0.972
8304,FALSE POSITIVE,1.089057762,0.185,1.637,37.4,0.005493,2.06582,0.44,0.0189,87.91,1404.0,917.78,5.06,9.2,5096.0,4.582,-0.2,0.737,0.758
8305,FALSE POSITIVE,0.379412331,0.243,1.561,594.0,0.021795,0.9745,1.59,0.009,82.85,1643.0,1724.34,1.95,20.2,4331.0,4.62,0.07,0.666,0.675
8306,FALSE POSITIVE,0.585940879,1.254,4.6979,1943.6,0.305249,0.12722,26.57,0.0132,18.42,1873.0,2897.54,1.322,189.9,5459.0,4.583,-0.12,0.797,0.893
8307,CANDIDATE,3.90735046,0.088,2.896,109.3,0.009441,1.38681,0.83,0.0469,89.51,1007.0,243.14,10.38,10.0,5497.0,4.577,-0.1,0.809,0.907
8308,FALSE POSITIVE,0.646523404,0.494,3.917,25.2,0.004755,0.10496,0.85,0.0167,68.09,3163.0,23676.16,1.324,14.2,7257.0,4.185,-0.06,1.631,1.487
8309,FALSE POSITIVE,0.626431697,1.145,2.0171,37224.0,0.432421,0.662,34.05,0.0127,61.43,1709.0,2003.98,2.39,174.0,5134.0,4.56,-0.44,0.721,0.688
8310,FALSE POSITIVE,2.6963549739999997,0.324,5.39585,245990.0,0.46808599999999995,0.4421,80.71,0.0391,86.65,1815.0,2560.78,5.53867,2717.0,6472.0,4.08,-0.4,1.579,1.093
8311,CANDIDATE,377.501257,0.033,11.98,541.4,0.021072,1.96796,2.16,1.0357,89.99,242.0,0.81,245.7,13.9,5751.0,4.508,0.14,0.94,1.038
8312,FALSE POSITIVE,14.762889172000001,1.046,6.52705,79330.0,0.477159,0.51168,53.72,0.1128,86.68,759.0,78.43,18.0646,1779.1,5691.0,4.354,-0.16,1.031,0.875
8313,FALSE POSITIVE,4.5638537,0.9866,13.05,71.9,0.01137,0.00141,2.97,0.0587,31.51,1533.0,1305.08,1.158,16.8,5446.0,3.793,0.07,2.39,1.293
8314,FALSE POSITIVE,1.463775066,0.719,0.953,45.1,0.0066560000000000005,5.06499,1.2,0.0277,85.04,2308.0,6722.29,8.31,12.7,6781.0,4.125,-0.22,1.651,1.333
8315,FALSE POSITIVE,8.098754149,1.467,5.62354,56616.0,0.776929,0.39874,123.02,0.0817,82.43,1176.0,452.03,11.1401,5402.0,6328.0,4.16,-0.18,1.45,1.107
8316,FALSE POSITIVE,0.587938916,1.257,1.40211,7339.5,0.370942,0.56785,29.98,0.0122,54.81,1800.0,2476.75,2.181,563.0,5237.0,4.543,-0.46,0.74,0.698
8317,FALSE POSITIVE,246.87131,0.327,10.69,433.6,0.019292,1.53175,2.02,0.7793,89.89,302.0,1.97,170.3,6.9,6168.0,4.488,-0.24,0.96,1.034
8319,FALSE POSITIVE,1.5590902819999999,0.375,4.95211,226980.0,0.45323100000000005,0.33264,129.87,0.032,83.84,2905.0,16893.61,3.4964,1315.5,7279.0,3.8560000000000003,-0.04,2.624,1.8
8320,FALSE POSITIVE,1.81993557,0.768,2.43,109.1,0.01048,0.32628,0.66,0.0242,78.49,907.0,159.62,3.85,10.1,4205.0,4.668,-0.38,0.578,0.567
8321,FALSE POSITIVE,0.612888148,0.534,2.822,43.1,0.0062369999999999995,0.20490999999999998,0.93,0.0154,70.46,2796.0,14401.76,1.596,15.9,6720.0,4.276,-0.08,1.368,1.294
8322,FALSE POSITIVE,15.541358817999999,1.25,2.44433,10308.0,0.385945,1.93409,149.19,0.1297,87.54,1174.0,448.22,29.12,773.4,5092.0,3.42,-0.26,3.54,1.201
8323,CANDIDATE,7.1969168,0.502,4.525,47.1,0.006392,0.43809,1.1,0.0731,87.29,1132.0,388.54,10.63,10.4,5530.0,4.045,0.12,1.575,1.004
8324,FALSE POSITIVE,12.8177012,0.0006,3.465,75.6,0.00801,2.6633299999999998,1.21,0.1069,89.95,999.0,235.16,28.5,8.0,6290.0,4.151,-0.44,1.385,0.99
8325,FALSE POSITIVE,2.274628199,0.986,4.52648,103970.0,0.490353,0.3224,104.26,0.0353,77.21,2092.0,4536.51,4.451,2047.9,6389.0,3.9139999999999997,-0.44,1.947,1.134
8326,FALSE POSITIVE,85.338393,0.004,8.5,633.0,0.022234999999999998,1.25189,11.4,0.3912,90.0,741.0,71.36,78.4,27.9,4850.0,3.134,-0.04,4.696,1.095
8327,FALSE POSITIVE,5.499941793,0.531,11.3096,47751.0,0.208384,0.04361,59.94,0.0728,82.59,1878.0,2942.15,4.1161,814.1,7079.0,3.827,-0.16,2.634,1.695
8328,FALSE POSITIVE,2.629870555,0.705,6.606,101310.0,0.322419,0.1209,34.05,0.0349,78.5,1291.0,659.45,3.5357300000000005,1026.0,5566.0,4.382,-0.2,0.967,0.822
8330,CANDIDATE,0.947554749,0.058,1.097,65.4,0.00734,6.23452,0.67,0.0186,89.51,1633.0,1680.03,6.66,12.4,5508.0,4.569,0.07,0.84,0.955
8331,FALSE POSITIVE,6.62761199,0.753,6.15281,227140.0,0.5635140000000001,0.62576,82.03,0.0714,86.19,1204.0,496.41,11.326,4355.5,6316.0,4.231,-0.12,1.333,1.102
8332,CANDIDATE,50.271927,0.205,6.073,574.5,0.022157,1.9012799999999999,2.94,0.2894,89.81,589.0,28.51,63.3,9.3,6520.0,4.375,0.07,1.215,1.279
8333,FALSE POSITIVE,28.597880332,0.356,7.71925,85952.0,0.274826,0.96273,74.25,0.2032,89.41,1014.0,250.21,34.655,2526.2,6590.0,3.787,-0.34,2.474,1.368
8334,FALSE POSITIVE,30.476518853,0.6,10.2264,326630.0,0.609498,0.80202,71.42,0.1822,88.99,592.0,28.96,34.0215,1347.9,5527.0,4.315,-0.02,1.073,0.867
8335,FALSE POSITIVE,252.1638623,1.149,23.92,103790.0,0.6237149999999999,0.23487,50.74,0.7319,89.29,242.0,0.81,92.42,864.5,5432.0,4.6080000000000005,-0.32,0.745,0.834
8337,FALSE POSITIVE,22.271198510999998,0.775,4.58598,179040.0,0.49917799999999996,4.12031,39.79,0.1376,89.07,515.0,16.62,47.63,2141.3,5068.0,4.556,-0.34,0.73,0.698
8338,FALSE POSITIVE,73.894163515,0.27,9.48995,213900.0,0.42658100000000004,2.0049799999999998,39.18,0.3146,89.81,392.0,5.61,83.334,3902.3,5442.0,4.468999999999999,-0.34,0.841,0.759
8339,FALSE POSITIVE,1.1240338220000001,0.719,5.5728,247560.0,0.5744239999999999,0.21394000000000002,98.04,0.0239,72.77,2547.0,9953.28,2.4266,792.9,7141.0,4.208,-0.08,1.563,1.442
8340,FALSE POSITIVE,2.796661168,1.276,3.3781,2363.8,0.329252,0.04698,47.68,0.0375,61.66,1661.0,1797.72,2.688,251.4,6331.0,4.146,-0.74,1.326,0.898
8341,FALSE POSITIVE,15.288709179000001,0.372,5.00366,512470.0,0.694921,4.65954,54.56,0.1077,89.45,509.0,15.84,38.614,1758.7,4464.0,4.577,0.2,0.719,0.711
8342,FALSE POSITIVE,1.83592242,1.189,5.9942,30746.0,0.43438000000000004,0.06577999999999999,46.3,0.0297,58.43,1501.0,1195.13,2.2715,1378.9,5930.0,4.4719999999999995,-0.02,0.976,1.029
8344,CANDIDATE,128.208643,0.811,2.745,212.2,0.014778,11.87792,6.15,0.6005,89.79,792.0,93.05,217.7,8.9,7128.0,3.52,-0.5,3.811,1.754
8345,FALSE POSITIVE,1.516372183,0.596,1.239,93.8,0.009284,3.68624,1.06,0.027,85.53,1686.0,1911.54,7.65,8.8,6142.0,4.456,0.07,1.046,1.143
8346,FALSE POSITIVE,8.784575777,0.5,5.3022,262980.0,0.500326,1.41287,104.57,0.1022,88.4,1555.0,1380.83,17.929,4761.5,8144.0,4.138999999999999,0.07,1.914,1.841
8347,FALSE POSITIVE,1.949700508,1.153,4.350140000000001,38119.0,0.430688,0.15712,56.11,0.033,68.61,1716.0,2048.37,3.1606,2271.0,6469.0,4.385,0.07,1.193,1.26
8348,FALSE POSITIVE,9.948701372999999,1.277,3.2922,2749.5,0.340124,0.162,29.19,0.082,82.24,704.0,57.93,9.46,103.1,5152.0,4.5169999999999995,-0.2,0.786,0.741
8349,FALSE POSITIVE,3.457078812,0.317,5.2405800000000005,315520.0,0.5321670000000001,0.69768,86.12,0.0478,87.61,1603.0,1560.4,7.6104,6009.0,6526.0,4.1819999999999995,-0.2,1.482,1.223
8350,FALSE POSITIVE,3.7359934839999998,0.993,17.4877,617990.0,1.289667,0.06991,571.07,0.0554,74.53,2063.0,4283.18,3.7225,1587.7,5467.0,3.432,-0.34,4.055,1.62
8351,CANDIDATE,6.63448023,0.116,3.603,71.2,0.007790999999999999,1.2036,1.04,0.0719,89.53,1177.0,453.27,14.095,10.3,6463.0,4.313,-0.2,1.225,1.126
8352,FALSE POSITIVE,12.4239677,0.007,16.01,162.4,0.011359999999999999,0.026789999999999998,0.87,0.0922,89.94,606.0,31.93,6.02,12.8,4995.0,4.58,-0.4,0.698,0.677
8353,FALSE POSITIVE,0.639721284,0.404,2.69771,465920.0,0.6826369999999999,1.43235,46.59,0.0123,82.61,1505.0,1220.53,3.1409,1012.9,4794.0,4.633,-0.62,0.625,0.612
8354,FALSE POSITIVE,1.25338826,0.469,3.828,44.7,0.006236,0.15342,0.64,0.0232,78.43,1651.0,1750.61,2.336,14.8,5869.0,4.513,0.07,0.942,1.054
8355,CANDIDATE,1.002591901,0.312,1.247,143.2,0.010829,3.94521,0.87,0.0178,86.99,1391.0,884.21,5.94,11.1,4893.0,4.574,-0.06,0.739,0.746
8356,FALSE POSITIVE,1.6208136969999998,0.636,5.9968,121320.0,0.341926,0.12892,43.95,0.0253,75.92,1733.0,2127.67,2.616,680.4,5757.0,4.209,-0.4,1.177,0.818
8357,CANDIDATE,3.37116682,0.318,4.708,71.4,0.0077209999999999996,0.24369000000000002,0.98,0.0434,86.55,1291.0,656.3,5.27,9.8,5653.0,4.288,0.1,1.163,0.958
8358,FALSE POSITIVE,5.2434664,1.016,18.47,119.4,0.033836,0.00093,2.83,0.0549,23.3,831.0,113.05,1.106,10.7,5047.0,4.574,0.0,0.766,0.802
8359,FALSE POSITIVE,5.2439542,0.223,9.82,143.8,0.010715,0.0463,0.81,0.0538,86.86,778.0,86.51,4.06768,14.2,4920.0,4.636,-0.22,0.691,0.768
8360,FALSE POSITIVE,5.2441517,0.557,9.69,90.1,0.009001,0.0309,0.91,0.0593,80.98,1056.0,293.68,3.55,10.5,6060.0,4.5089999999999995,-0.22,0.925,1.008
8361,FALSE POSITIVE,5.2443332,0.775,11.268,29.9,0.005478,0.009940000000000001,0.58,0.0603,71.45,1054.0,291.25,2.44,13.5,5952.0,4.489,0.02,0.971,1.057
8362,FALSE POSITIVE,20.726069913,0.989,6.47393,118860.0,0.52694,1.01817,51.9,0.1471,88.01,657.0,43.93,28.488,1216.8,6011.0,4.522,-0.24,0.902,0.988
8363,FALSE POSITIVE,0.566801447,0.615,2.352,16.2,0.003854,0.2665,0.57,0.0135,68.18,2633.0,11321.32,1.654,13.8,5966.0,4.184,-0.1,1.349,1.014
8364,FALSE POSITIVE,0.566794934,0.974,4.399,68.9,0.010029000000000001,0.060520000000000004,1.15,0.0138,15.15,2457.0,8648.94,1.009,21.7,6395.0,4.436,-0.26,1.049,1.094
8365,FALSE POSITIVE,0.5668002870000001,0.648,3.487,73.9,0.008292,0.11559000000000001,0.88,0.0136,58.84,2260.0,6188.18,1.252,23.3,6075.0,4.486000000000001,-0.12,0.969,1.048
8366,FALSE POSITIVE,0.566791946,0.982,2.77,125.7,0.014497999999999999,0.0722,1.54,0.0138,23.41,2160.0,5129.25,1.07,14.1,5836.0,4.5,0.21,0.97,1.087
8367,FALSE POSITIVE,0.566790294,0.393,3.641,64.0,0.00744,0.13099,0.89,0.0134,72.5,2432.0,8244.38,1.305,22.6,6100.0,4.3580000000000005,-0.2,1.093,0.993
8368,FALSE POSITIVE,0.566799725,0.33,4.097,46.7,0.0062439999999999996,0.10625,0.77,0.0131,74.25,2289.0,6460.25,1.217,12.5,5576.0,4.297,0.1,1.132,0.928
8369,FALSE POSITIVE,0.566801325,0.77,4.176,92.1,0.009594,0.07976,1.07,0.0138,45.88,2383.0,7585.82,1.106,26.4,6273.0,4.454,-0.2,1.021,1.077
8370,FALSE POSITIVE,14.854415674,0.57,5.13753,77410.0,0.266744,1.34073,29.77,0.1206,88.69,798.0,95.83,25.0072,2822.1,6214.0,4.444,-0.16,1.022,1.051
8371,FALSE POSITIVE,38.47674409,0.458,5.10744,173170.0,0.391811,5.52944,33.8,0.2011,89.65,463.0,10.85,75.638,3487.8,5294.0,4.507,-0.34,0.79,0.733
8372,FALSE POSITIVE,10.643110689,1.179,88.1118,316.3,0.197178,0.00029,31.72,0.0935,11.12,1038.0,274.67,1.201967,153.7,5930.0,4.084,-0.28,1.473,0.96
8373,FALSE POSITIVE,1.587485742,0.259,7.7489,246570.0,0.463146,0.10751,41.52,0.0258,83.87,1460.0,1070.86,2.42849,996.8,5863.0,4.566,-0.36,0.821,0.908
8374,CANDIDATE,6.613671,0.096,4.211,32.8,0.0052439999999999995,0.75085,0.91,0.0711,89.54,1266.0,607.33,12.019,10.2,6056.0,4.071000000000001,-0.08,1.597,1.094
8375,FALSE POSITIVE,1.79621807,0.72,10.16,47.0,0.006736,0.011940000000000001,1.54,0.0335,55.41,2480.0,8937.14,1.268,42.0,7117.0,3.988,-0.14,2.09,1.548
8376,FALSE POSITIVE,20.2594232,0.707,19.27,82.6,0.008897,0.009170000000000001,1.23,0.1536,83.04,837.0,116.05,5.84,23.7,6602.0,4.301,-0.24,1.269,1.178
8377,CANDIDATE,1.48062814,0.479,2.898,62.5,0.007436,0.37983,0.76,0.0255,82.2,1653.0,1770.63,3.53,10.3,6187.0,4.499,-0.32,0.937,1.011
8378,FALSE POSITIVE,1.489442254,0.455,5.51392,417900.0,0.652608,0.34728000000000003,115.45,0.0282,82.4,2328.0,6938.66,3.4405,2309.2,6962.0,4.148,-0.24,1.62,1.352
8379,FALSE POSITIVE,1.12679793,1.215,12.079,227.2,0.229677,0.02773,21.07,0.0207,8.86,1590.0,1514.63,1.23,21.1,5662.0,4.56,-0.12,0.84,0.937
8380,FALSE POSITIVE,0.998217563,1.003,3.9085099999999997,87567.0,0.462512,0.25934,88.64,0.0213,65.18,2795.0,14421.97,2.3905,3979.1,6980.0,4.06,-0.38,1.755,1.292
8381,CANDIDATE,2.68814059,0.532,1.12,145.2,0.011448,10.286430000000001,0.92,0.0352,88.07,1135.0,392.64,15.78,9.1,5636.0,4.613,-0.54,0.734,0.821
8382,FALSE POSITIVE,0.58640848,0.352,2.616,61.3,0.0070739999999999996,0.29351,0.48,0.0119,78.38,1444.0,1029.91,1.747,23.6,4556.0,4.676,-0.32,0.615,0.669
8383,FALSE POSITIVE,33.46947449,0.315,11.8874,164610.0,0.379342,0.40747,127.38,0.2228,89.38,972.0,211.38,28.8965,1255.2,5934.0,3.5810000000000004,-0.62,3.075,1.315
8384,FALSE POSITIVE,1.8275588980000002,0.093,4.72808,314680.0,0.521493,0.54137,118.28,0.0304,88.83,2178.0,5331.71,4.5722,920.8,5977.0,3.8539999999999996,-0.3,2.077,1.125
8385,FALSE POSITIVE,62.519211,0.081,2.523,277.6,0.015325,34.03118,1.9,0.3291,89.95,520.0,17.29,191.6,6.7,6343.0,4.4110000000000005,0.07,1.137,1.213
8386,CANDIDATE,97.991569,0.711,4.665,126.8,0.011037,3.02457,1.41,0.4411,89.65,467.0,11.21,115.4,9.0,6499.0,4.378,-0.1,1.169,1.191
8387,FALSE POSITIVE,349.85525,0.485,5.42,842.0,0.027213,13.758289999999999,2.63,0.964,89.94,251.0,0.94,447.0,7.9,5941.0,4.533,-0.22,0.885,0.975
8388,FALSE POSITIVE,2.488812012,0.931,5.9452300000000005,131000.0,0.509325,0.1914,83.26,0.0359,76.44,1852.0,2776.19,3.9721,3290.5,6499.0,4.084,-0.66,1.497,0.993
8389,FALSE POSITIVE,0.51811818,0.021,0.3969,99.0,0.010742,72.50594,1.09,0.0126,89.88,2360.0,7376.27,10.1,7.8,6240.0,4.502,-0.4,0.929,1.0
8390,FALSE POSITIVE,542.52829,0.3252,11.06,75.2,0.008055,2.9386900000000002,1.07,1.2373,89.95,266.0,1.19,358.0,11.2,6099.0,4.204,-0.62,1.212,0.856
8391,CANDIDATE,1.057080807,0.966,1.82,60.6,0.009363,0.07285,0.97,0.0203,53.56,1805.0,2518.85,1.627,11.3,6000.0,4.487,-0.16,0.946,1.003
8392,FALSE POSITIVE,11.567974732,0.458,5.96595,416030.0,0.645094,1.81761,45.65,0.0896,88.88,628.0,36.66,23.427,2341.5,5290.0,4.669,-0.68,0.648,0.723
8393,FALSE POSITIVE,21.294733865,0.957,7.601430000000001,123180.0,0.51272,0.65979,71.55,0.1524,87.82,771.0,83.71,25.101,2674.6,6039.0,4.242,-0.08,1.278,1.041
8394,CANDIDATE,317.062416,0.673,7.438,442.9,0.020361,2.93522,1.59,0.8404,89.85,218.0,0.54,249.9,9.8,5366.0,4.625,-0.4,0.715,0.793
8395,CANDIDATE,13.4959496,0.2136,2.085,253.6,0.014581,12.24811,1.62,0.1147,89.95,784.0,89.25,49.0,7.3,5962.0,4.4639999999999995,0.14,1.019,1.102
8396,FALSE POSITIVE,0.855763492,0.917,3.64361,131660.0,0.5029319999999999,0.37106999999999996,72.82,0.019,67.84,2464.0,8674.28,2.431,598.4,6679.0,4.2860000000000005,-0.16,1.326,1.246
8397,FALSE POSITIVE,2.0451662059999998,0.661,6.84312,263640.0,0.563641,0.17867,131.41,0.036,78.81,2422.0,8125.86,3.4058,1488.6,7128.0,3.95,-0.34,2.135,1.479
8398,FALSE POSITIVE,2.41349123,0.728,11.29,57.0,0.007435,0.009170000000000001,2.11,0.0402,59.02,2348.0,7197.15,1.413,38.1,6628.0,3.783,-0.32,2.595,1.489
8399,FALSE POSITIVE,0.44782061799999995,0.317,0.4199,58.3,0.008071,45.14485,1.42,0.0111,87.68,3141.0,23149.06,7.82,28.4,5927.0,3.988,-0.52,1.607,0.914
8400,CANDIDATE,43.2675604,0.818,8.331,69.1,0.008532,0.12949000000000002,1.61,0.2519,88.0,664.0,45.99,23.4,10.0,5747.0,4.018,0.2,1.729,1.135
8401,FALSE POSITIVE,1.23133063,0.051,3.7,78.9,0.007778,0.2261,0.54,0.0192,88.89,1072.0,311.53,2.627,17.6,4237.0,4.63,-0.1,0.631,0.62
8402,FALSE POSITIVE,0.61566096,0.161,2.669,13.9,0.003453,0.31597,0.84,0.0159,85.02,3459.0,33790.36,1.85,8.5,6619.0,3.89,-0.32,2.23,1.408
8403,FALSE POSITIVE,1.23140522,0.412,3.338,51.3,0.006601,0.23895,0.81,0.0221,81.15,1756.0,2252.47,2.68,10.8,5600.0,4.32,0.14,1.118,0.951
8404,CANDIDATE,11.3251153,0.352,2.126,297.2,0.015813,8.60258,1.26,0.0886,89.48,674.0,48.78,38.8,7.0,5334.0,4.574,-0.5,0.727,0.723
