,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_model_snr,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
4147,CANDIDATE,1.182862515,0.284,2.928,22.3,0.004368,0.3795,1.26,0.0237,84.63,2800.0,14544.87,3.039,16.5,6017.0,3.699,-0.38,2.639,1.269
4148,CONFIRMED,0.539915033,0.291,1.1466,97.0,0.008937,2.85988,0.82,0.0121,85.27,1871.0,2901.68,3.532,17.6,5102.0,4.502,0.1,0.837,0.811
4149,FALSE POSITIVE,372.54353,1.7826,21.83,1106.0,0.812072,0.01042,74.14,0.9858,87.66,226.0,0.62,42.4,11.9,5561.0,4.5569999999999995,-0.06,0.836,0.919
4150,CANDIDATE,2.20829637,0.205,2.841,87.9,0.008594,0.79495,1.36,0.0352,88.0,1709.0,2016.25,5.9,12.0,6028.0,4.189,0.14,1.454,1.194
4151,CONFIRMED,0.849906734,0.64,1.141,124.3,0.010761,2.4205400000000004,0.59,0.014,81.86,1139.0,396.64,4.52,12.0,4296.0,4.7330000000000005,-1.0,0.505,0.503
4152,CANDIDATE,26.6565737,0.686,4.954,163.4,0.012412999999999999,0.76375,4.15,0.1943,88.72,903.0,157.45,30.6,18.8,5159.0,3.6039999999999996,-0.04,3.062,1.373
4153,CANDIDATE,4.4408541,0.005,8.083,33.9,0.005195,0.07412,1.74,0.0588,89.93,1642.0,1719.2,4.26,12.0,5159.0,3.6039999999999996,-0.04,3.062,1.373
4154,FALSE POSITIVE,373.72257,1.5922,14.21,470.9,0.609829,0.014780000000000001,67.13,1.0309,88.24,262.0,1.11,47.8,9.6,6004.0,4.45,-0.02,1.008,1.043
4155,CONFIRMED,8.18504859,0.601,4.673,97.6,0.00943,0.36344,0.93,0.0794,86.83,892.0,149.41,10.88,12.5,5984.0,4.521,-0.2,0.906,0.993
4156,FALSE POSITIVE,10.78438513,1.18,1.408,233.6,0.195495,0.23723000000000002,75.04,0.1089,84.03,1397.0,900.7,11.34,15.6,5575.0,3.516,-0.38,3.515,1.48
4157,CONFIRMED,10.42317343,0.811,2.341,71.2,0.008625,1.4800799999999998,1.07,0.0905,87.72,901.0,155.7,20.41,11.2,5767.0,4.287,-0.14,1.135,0.91
4158,FALSE POSITIVE,0.566804221,0.536,4.639,166.0,0.012112999999999999,0.08167999999999999,0.85,0.0115,61.27,1737.0,2149.42,1.115,31.0,5277.0,4.625,-1.0,0.64,0.628
4159,FALSE POSITIVE,2.022658,0.419,3.343,135.7,0.010856000000000001,0.36898000000000003,1.15,0.0318,84.41,1482.0,1139.1,4.31,17.4,6091.0,4.487,-0.14,0.967,1.045
4160,FALSE POSITIVE,316.57747,0.2569,14.64,269.1,0.015013999999999998,0.80586,1.47,0.9079,89.95,255.0,1.01,162.2,10.2,5822.0,4.529,-0.06,0.898,0.994
4161,CANDIDATE,1.8679943,0.173,1.087,73.4,0.007812,12.03987,0.7,0.0286,89.24,1291.0,658.77,13.05,10.0,5487.0,4.5680000000000005,-0.08,0.815,0.899
4162,CANDIDATE,8.9172863,0.062,4.468,196.3,0.012875999999999999,0.8731700000000001,1.39,0.0853,89.77,931.0,177.84,15.43,7.2,6210.0,4.467,-0.24,0.986,1.035
4163,FALSE POSITIVE,0.519437968,1.172,2.129,226.2,0.186382,0.12955999999999998,20.48,0.013,17.3,2402.0,7822.62,1.227,25.4,6181.0,4.4639999999999995,-0.14,1.006,1.074
4164,CANDIDATE,1.33807075,0.003,1.425,20.2,0.004143,3.98392,0.6,0.0257,89.97,2008.0,3844.97,7.22,8.5,6355.0,4.2989999999999995,0.16,1.319,1.269
4165,FALSE POSITIVE,1.105095798,0.295,2.624,141.7,0.010809000000000001,0.49578,0.89,0.0197,84.67,1445.0,1025.9,3.175,17.4,5296.0,4.604,-0.2,0.752,0.835
4166,FALSE POSITIVE,245.01902,0.3471,8.56,375.9,0.017977,2.89118,1.98,0.7796,89.95,310.0,2.17,209.3,10.1,6167.0,4.4510000000000005,-0.14,1.01,1.046
4167,CONFIRMED,153.979362,0.036,9.028,792.5,0.025664,1.90062,2.53,0.552,89.98,330.0,2.82,133.6,16.1,5858.0,4.502,-0.2,0.903,0.944
4168,FALSE POSITIVE,10.2239787,0.439,1.814,213.5,0.013297999999999999,11.00954,24.43,0.1279,89.36,2364.0,7383.41,39.3,6.5,4673.0,2.412,0.21,16.823,2.666
4169,CONFIRMED,56.4148314,0.908,8.075,480.1,0.023849000000000002,0.09557,2.9,0.3024,87.94,535.0,19.37,25.2,16.4,6325.0,4.409,-0.04,1.112,1.157
4170,FALSE POSITIVE,2.18079098,0.74,12.13,83.2,0.009013,0.00813,3.29,0.0405,54.35,2767.0,13876.96,1.269,69.3,6911.0,3.661,-0.12,3.339,1.865
4171,CONFIRMED,20.9254083,0.201,6.783,109.0,0.00951,0.54814,1.26,0.1499,89.51,729.0,66.95,23.32,15.5,5821.0,4.283,0.1,1.21,1.025
4172,CONFIRMED,13.0600399,0.495,2.851,106.8,0.009581999999999999,3.2440599999999997,0.8,0.1006,89.08,630.0,37.3,30.81,12.5,5168.0,4.566,-0.12,0.769,0.793
4173,FALSE POSITIVE,0.641069613,0.061,1.033,78.6,0.008191,5.11696,0.86,0.0143,89.27,2196.0,5512.38,4.81,10.5,6077.0,4.4510000000000005,-0.34,0.961,0.953
4174,FALSE POSITIVE,2.2430415,0.147,3.63,101.1,0.009195,0.40304,0.89,0.0334,88.22,1344.0,770.18,4.75,8.1,5897.0,4.531000000000001,-0.16,0.891,0.983
4175,FALSE POSITIVE,1.21475168,0.461,6.93,266.1,0.015361000000000001,0.0359,5.5,0.0265,70.93,3302.0,28091.85,1.41,7.9,6732.0,3.6319999999999997,-0.14,3.276,1.676
4176,CANDIDATE,17.3731821,0.227,3.36,71.7,0.007795000000000001,3.6564,1.31,0.141,89.66,901.0,155.73,38.8,14.0,6180.0,4.155,0.07,1.54,1.237
4177,CANDIDATE,1.97507424,0.152,2.61,130.5,0.010487999999999999,0.9485899999999999,1.08,0.0311,88.5,1477.0,1122.82,5.8,15.0,6065.0,4.495,-0.18,0.947,1.022
4178,CONFIRMED,27.4784659,0.008,7.5,83.2,0.008173999999999999,0.56321,1.52,0.181,89.98,736.0,69.3,28.2,12.3,5432.0,3.9930000000000003,0.21,1.707,1.046
4179,FALSE POSITIVE,244.86662,0.3872,10.56,289.5,0.01575,1.4539799999999998,1.46,0.7506,89.95,273.0,1.31,166.4,9.7,5821.0,4.553999999999999,-0.22,0.848,0.937
4180,FALSE POSITIVE,1.30627214,0.57,5.144,95.4,0.009214,0.0628,0.87,0.023,71.34,1490.0,1161.23,1.783,10.3,5513.0,4.543,0.08,0.862,0.948
4181,FALSE POSITIVE,62.366706,0.1725,4.32,95.4,0.009059000000000001,6.40311,1.88,0.3457,89.95,698.0,56.09,109.6,7.1,6749.0,4.031000000000001,-0.14,1.9,1.419
4182,FALSE POSITIVE,0.933732791,0.022,3.056,96.9,0.008898999999999999,0.31067,0.9,0.0173,89.47,1773.0,2344.56,2.428,13.8,5496.0,4.405,-0.22,0.927,0.798
4183,FALSE POSITIVE,53.106597,0.5182,2.914,82.4,0.008618,11.73127,2.2,0.3212,89.95,860.0,129.19,120.5,7.3,7217.0,3.8930000000000002,-0.34,2.343,1.562
4184,FALSE POSITIVE,360.15417,0.2583,12.806,790.6,0.025827999999999997,1.41527,2.99,1.0423,89.95,270.0,1.25,213.3,11.1,6065.0,4.452,0.21,1.061,1.163
4185,CANDIDATE,3.3879165,0.117,1.818,78.6,0.008048,4.7871,1.09,0.0442,89.53,1336.0,750.6,14.27,10.4,5702.0,4.247,0.14,1.245,0.997
4186,FALSE POSITIVE,1.42856815,0.3097,2.132,59.5,0.007178,1.12175,0.64,0.0239,86.52,1547.0,1352.91,4.95,11.8,5979.0,4.5569999999999995,-0.52,0.822,0.888
4187,FALSE POSITIVE,381.850599,0.4148,4.772,1702.0,0.037911,25.52691,3.59,1.026,89.95,222.0,0.58,582.0,13.8,5485.0,4.556,0.21,0.867,0.986
